P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(0,-2,-2,-2,0,0)","(-4,-4,-4,-4,-4,-4)",2.0000000000000004,sqrt(2),2,1,-999
"(0,-1,-1,-1,0,0)","(-4,-4,-4,-4,-4,-4)",4.0000000000000044,sqrt(2),4,1,-999
"(1,0,0,-1,0,0)","(-4,-4,-4,-4,-4,-4)",1.9999999999999996,sqrt(2),2,1,-999
"(2,3,3,1,0,0)","(-4,-4,-4,-4,-4,-4)",3.9999999999999973,sqrt(2),4,1,-999
"(3,4,4,1,0,0)","(-4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(4,2,2,2,2,2)","(-4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(2,-1,1,4,2,-3)","(-2,-4,-4,-4,-4,-4)",0.54279305569343084,1/sqrt(pi),1,6,4
"(-2,1,-1,-4,-2,3)","(-2,-4,-4,-4,-4,-4)",-0.54279305569343084,1/sqrt(pi),-1,6,-4
"(3,4,4,4,4,4)","(-2,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(4,4,2,2,2,0)","(0,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-4,-4,-4,-4,-4)","(2,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-4,-4,-4,-4,-4)","(4,-4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,-2,-2,-2,-2,-2)","(4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,3,4,4,4,4)","(-2,-3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-3,-4,-4,-4,-4)","(2,-3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-3,-4,-4,-4,-4)","(4,-3,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,1,2,2,2,2)","(-4,-2,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(4,1,4,0,4,0)","(-2,-2,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,2,4,4,4,4)","(-2,-2,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-2,-4,-4,-4,-4)","(2,-2,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-2,-4,-4,-4,-4)","(4,-2,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,-1,-2,-2,-2,-2)","(4,-2,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,1,4,4,4,4)","(-2,-1,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-1,-4,-4,-4,-4)","(2,-1,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-1,-4,-4,-4,-4)","(4,-1,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,0,2,2,2,2)","(-4,0,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,0,4,4,4,4)","(-2,0,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,0,-4,-4,-4,-4)","(2,0,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,0,-4,-4,-4,-4)","(4,0,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,0,-2,-2,-2,-2)","(4,0,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-1,4,4,4,4)","(-2,1,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,1,-4,-4,-4,-4)","(2,1,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,1,-4,-4,-4,-4)","(4,1,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,-1,2,2,2,2)","(-4,2,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-2,4,4,4,4)","(-2,2,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,2,-4,-4,-4,-4)","(2,2,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(0,-1,-4,0,-4,0)","(2,2,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,2,-4,-4,-4,-4)","(4,2,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,1,-2,-2,-2,-2)","(4,2,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-3,4,4,4,4)","(-2,3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,3,-4,-4,-4,-4)","(2,3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,3,-4,-4,-4,-4)","(4,3,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,-2,2,2,2,2)","(-4,4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-4,4,4,4,4)","(-2,4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(0,-4,-2,-2,-2,0)","(0,4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,4,-4,-4,-4,-4)","(2,4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,4,-4,-4,-4,-4)","(4,4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,2,-2,-2,-2,-2)","(4,4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(2,-1,-4,0,-4,0)","(4,4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(-2,-2,-2,0,-2,0)","(4,4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,4,3,4,4,4)","(-2,-4,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-4,-3,-4,-4,-4)","(2,-4,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-4,-3,-4,-4,-4)","(4,-4,-3,-4,-4,-4)",4,sqrt(2),4,1,-999
"(3,3,3,4,4,4)","(-2,-3,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-3,-3,-4,-4,-4)","(2,-3,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-3,-3,-4,-4,-4)","(4,-3,-3,-4,-4,-4)",4,sqrt(2),4,1,-999
"(1,-1,1,0,-2,-4)","(4,-3,-3,-4,-4,-4)",5.0326532985698282,1/sqrt(e),2,1,5
"(-1,1,-1,0,2,4)","(4,-3,-3,-4,-4,-4)",-5.0326532985698282,1/sqrt(e),-2,1,-5
"(3,2,3,4,4,4)","(-2,-2,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,4,4,4,4,0)","(0,-2,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-2,-3,-4,-4,-4)","(2,-2,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-2,-3,-4,-4,-4)","(4,-2,-3,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,0,4,0,4,0)","(-2,-1,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,1,3,4,4,4)","(-2,-1,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-1,-3,-4,-4,-4)","(2,-1,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-1,-3,-4,-4,-4)","(4,-1,-3,-4,-4,-4)",4,sqrt(2),4,1,-999
"(3,0,3,4,4,4)","(-2,0,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,0,-3,-4,-4,-4)","(2,0,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,0,-3,-4,-4,-4)","(4,0,-3,-4,-4,-4)",4,sqrt(2),4,1,-999
"(3,-1,3,4,4,4)","(-2,1,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,1,-3,-4,-4,-4)","(2,1,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,1,-3,-4,-4,-4)","(4,1,-3,-4,-4,-4)",4,sqrt(2),4,1,-999
"(3,-2,3,4,4,4)","(-2,2,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-4,-4,-4,-4,0)","(0,2,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,2,-3,-4,-4,-4)","(2,2,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,2,-3,-4,-4,-4)","(4,2,-3,-4,-4,-4)",4,sqrt(2),4,1,-999
"(3,-3,3,4,4,4)","(-2,3,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,3,-3,-4,-4,-4)","(2,3,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(0,0,-4,0,-4,0)","(2,3,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,3,-3,-4,-4,-4)","(4,3,-3,-4,-4,-4)",4,sqrt(2),4,1,-999
"(3,-4,3,4,4,4)","(-2,4,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-4,-4,-4,-4,0)","(0,4,-3,-4,-4,-4)",4,sqrt(2),4,1,-999
"(1,4,-3,-4,-4,-4)","(2,4,-3,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,4,-3,-4,-4,-4)","(4,4,-3,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,2,1,2,2,2)","(-4,-4,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,4,2,4,4,4)","(-2,-4,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(4,3,2,2,2,0)","(0,-4,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-4,-2,-4,-4,-4)","(2,-4,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-4,-2,-4,-4,-4)","(4,-4,-2,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,-2,-1,-2,-2,-2)","(4,-4,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,3,2,4,4,4)","(-2,-3,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-3,-2,-4,-4,-4)","(2,-3,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-3,-2,-4,-4,-4)","(4,-3,-2,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,1,1,2,2,2)","(-4,-2,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,2,2,4,4,4)","(-2,-2,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,3,4,4,4,0)","(0,-2,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-2,-2,-4,-4,-4)","(2,-2,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-2,-2,-4,-4,-4)","(4,-2,-2,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,-1,-1,-2,-2,-2)","(4,-2,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,1,2,4,4,4)","(-2,-1,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-1,-2,-4,-4,-4)","(2,-1,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-1,-2,-4,-4,-4)","(4,-1,-2,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,0,1,2,2,2)","(-4,0,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(4,-1,4,0,4,0)","(-2,0,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,0,2,4,4,4)","(-2,0,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,0,-2,-4,-4,-4)","(2,0,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,0,-2,-4,-4,-4)","(4,0,-2,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,0,-1,-2,-2,-2)","(4,0,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-1,2,4,4,4)","(-2,1,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,1,-2,-4,-4,-4)","(2,1,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,1,-2,-4,-4,-4)","(4,1,-2,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,-1,1,2,2,2)","(-4,2,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-2,2,4,4,4)","(-2,2,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-3,-4,-4,-4,0)","(0,2,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,2,-2,-4,-4,-4)","(2,2,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,2,-2,-4,-4,-4)","(4,2,-2,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,1,-1,-2,-2,-2)","(4,2,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-3,2,4,4,4)","(-2,3,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,3,-2,-4,-4,-4)","(2,3,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,3,-2,-4,-4,-4)","(4,3,-2,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,-2,1,2,2,2)","(-4,4,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-4,2,4,4,4)","(-2,4,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-3,-4,-4,-4,0)","(0,4,-2,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,-3,-2,-2,-2,0)","(0,4,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,4,-2,-4,-4,-4)","(2,4,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(0,1,-4,0,-4,0)","(2,4,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,4,-2,-4,-4,-4)","(4,4,-2,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,2,-1,-2,-2,-2)","(4,4,-2,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,4,1,4,4,4)","(-2,-4,-1,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-4,-1,-4,-4,-4)","(2,-4,-1,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-4,-1,-4,-4,-4)","(4,-4,-1,-4,-4,-4)",4,sqrt(2),4,1,-999
"(3,3,1,4,4,4)","(-2,-3,-1,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-3,-1,-4,-4,-4)","(2,-3,-1,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-3,-1,-4,-4,-4)","(4,-3,-1,-4,-4,-4)",4,sqrt(2),4,1,-999
"(3,2,1,4,4,4)","(-2,-2,-1,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,2,4,4,4,0)","(0,-2,-1,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-2,-1,-4,-4,-4)","(2,-2,-1,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-2,-1,-4,-4,-4)","(4,-2,-1,-4,-4,-4)",4,sqrt(2),4,1,-999
"(3,1,1,4,4,4)","(-2,-1,-1,-4,-4,-4)",2,sqrt(2),2,1,-999
